banned_words
,anal
,anus
,arse
,ass
,ballsack
,balls
,bastard
,bitch
,biatch
,bloody
,blowjob
,blow job
,boner
,boob
,bugger
,bum
,butt
,buttplug
,clitoris
,cock
,coon
,cunt
,dick
,dildo
,fag
,fellatio
,fuck
,f u c k
,fudgepacker
,fudge packer
,homo
,jerk
,jizz
,labia
,nigger
,nigga
,penis
,piss
,poop
,prick
,pube
,pussy
,queer
,scrotum
,sex
,shit
,slut
,smegma
,tit
,turd
,twat
,vagina
,wank
,whore
